ISO_A3	Country	HDI rank	Human Development Index (HDI)	Life expectancy at birth	Expected years of schooling	Mean years of schooling	Gross national income (GNI) per capita	GNI per capita rank minus HDI rank
GUY	Guyana	127	0.638	66.5	10.3	8.4	6,884	-5
FSM	Micronesia (Federated States of)	127	0.638	69.3	11.7	9.7	3,291	22
TJK	Tajikistan	129	0.627	69.6	11.3	10.4	2,601	30
HND	Honduras	130	0.625	73.3	11.2	6.2	4,466	11
IND	India	131	0.624	68.3	11.7	6.3	5,663	-4
BTN	Bhutan	132	0.607	69.9	12.5	3.1	7,081	-12
TLS	Timor-Leste	133	0.605	68.5	12.5	4.4	5,371	-1
VUT	Vanuatu	134	0.597	72.1	10.8	6.8	2,805	23
COG	Congo	135	0.592	62.9	11.1	6.3	5,503	-7
GNQ	Equatorial Guinea	135	0.592	57.9	9.2	5.5	21,517	-79
KIR	Kiribati	137	0.588	66.2	11.9	7.8	2,475	23
LAO	Lao People's Democratic Republic	138	0.586	66.6	10.8	5.2	5,049	-2
BGD	Bangladesh	139	0.579	72.0	10.2	5.2	3,341	8
GHA	Ghana	139	0.579	61.5	11.5	6.9	3,839	5
ZMB	Zambia	139	0.579	60.8	12.5	6.9	3,464	7
STP	Sao Tome and Principe	142	0.574	66.6	12.0	5.3	3,070	12
KHM	Cambodia	143	0.563	68.8	10.9	4.7	3,095	10
NPL	Nepal	144	0.558	70.0	12.2	4.1	2,337	19
MMR	Myanmar	145	0.556	66.1	9.1	4.7	4,943	-6
KEN	Kenya	146	0.555	62.2	11.1	6.3	2,881	10
PAK	Pakistan	147	0.550	66.4	8.1	5.1	5,031	-10
SWZ	Swaziland	148	0.541	48.9	11.4	6.8	7,522	-33
SYR	Syrian Arab Republic	149	0.536	69.7	9.0	5.1	2,441	13
AGO	Angola	150	0.533	52.7	11.4	5.0	6,291	-27
TZA	Tanzania (United Republic of)	151	0.531	65.5	8.9	5.8	2,467	10
NGA	Nigeria	152	0.527	53.1	10.0	6.0	5,443	-23
CMR	Cameroon	153	0.518	56.0	10.4	6.1	2,894	2
PNG	Papua New Guinea	154	0.516	62.8	9.9	4.3	2,712	4
ZWE	Zimbabwe	154	0.516	59.2	10.3	7.7	1,588	20
SLB	Solomon Islands	156	0.515	68.1	9.6	5.3	1,561	19
MRT	Mauritania	157	0.513	63.2	8.5	4.3	3,527	-12
MDG	Madagascar	158	0.512	65.5	10.3	6.1	1,320	25
RWA	Rwanda	159	0.498	64.7	10.8	3.8	1,617	14
COM	Comoros	160	0.497	63.6	11.1	4.8	1,335	22
LSO	Lesotho	160	0.497	50.1	10.7	6.1	3,319	-12
SEN	Senegal	162	0.494	66.9	9.5	2.8	2,250	3
HTI	Haiti	163	0.493	63.1	9.1	5.2	1,657	9
UGA	Uganda	163	0.493	59.2	10.0	5.7	1,670	8
SDN	Sudan	165	0.490	63.7	7.2	3.5	3,846	-22
TGO	Togo	166	0.487	60.2	12.0	4.7	1,262	18
BEN	Benin	167	0.485	59.8	10.7	3.5	1,979	1
YEM	Yemen	168	0.482	64.1	9.0	3.0	2,300	-4
AFG	Afghanistan	169	0.479	60.7	10.1	3.6	1,871	1
MWI	Malawi	170	0.476	63.9	10.8	4.4	1,073	16
CIV	Côte d'Ivoire	171	0.474	51.9	8.9	5.0	3,163	-20
DJI	Djibouti	172	0.473	62.3	6.3	4.1	3,216	-22
GMB	Gambia	173	0.452	60.5	8.9	3.3	1,541	3
ETH	Ethiopia	174	0.448	64.6	8.4	2.6	1,523	5
MLI	Mali	175	0.442	58.5	8.4	2.3	2,218	-9
COD	Congo (Democratic Republic of the)	176	0.435	59.1	9.8	6.1	680	15
LBR	Liberia	177	0.427	61.2	9.9	4.4	683	13
GNB	Guinea-Bissau	178	0.424	55.5	9.2	2.9	1,369	3
ERI	Eritrea	179	0.420	64.2	5.0	3.9	1,490	1
SLE	Sierra Leone	179	0.420	51.3	9.5	3.3	1,529	-1
MOZ	Mozambique	181	0.418	55.5	9.1	3.5	1,098	4
SSD	South Sudan	181	0.418	56.1	4.9	4.8	1,882	-12
GIN	Guinea	183	0.414	59.2	8.8	2.6	1,058	4
BDI	Burundi	184	0.404	57.1	10.6	3.0	691	5
BFA	Burkina Faso	185	0.402	59.0	7.7	1.4	1,537	-8
TCD	Chad	186	0.396	51.9	7.3	2.3	1,991	-19
NER	Niger	187	0.353	61.9	5.4	1.7	889	1
CAF	Central African Republic	188	0.352	51.5	7.1	4.2	587	4
